Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,185.37473,286.87302,212.89586,287.46274
296.9091,186.70758,288.96722,214.44608,289.62033
440.81818,188.00282,291.11908,215.98343,291.8364
584.7273,189.2681,293.2878,217.50294,294.06927
728.63635,190.5103,295.4557,219.00511,296.30087
872.5455,191.7338,297.61386,220.49077,298.5221
1016.4545,192.94214,299.75922,221.96173,300.72983
1160.3636,194.13815,301.89136,223.42,302.92368
1304.2727,195.32239,304.0078,224.86536,305.10117
1448.1818,196.49585,306.10834,226.29842,307.26212
1592.091,197.65784,308.1904,227.71805,309.4039
1736.0,198.80798,310.25266,229.12358,311.5252
1879.909,199.94652,312.2953,230.51523,313.62616
2023.8182,201.07246,314.3161,231.89168,315.7046
2167.7273,202.18611,316.3158,233.25336,317.76114
2311.6365,203.28662,318.29248,234.59914,319.794
2455.5454,204.37395,320.24603,235.92891,321.80292
2599.4546,205.44865,322.17746,237.24338,323.789
2743.3635,206.51004,324.0853,238.54166,325.75067
2887.2727,207.55876,325.97055,239.82448,327.68903
3031.182,208.59409,327.8313,241.09074,329.60208
3175.0908,209.62022,329.6679,242.34375,331.4903
3319.0,210.63359,331.48163,243.58112,333.35483
3462.9092,211.63452,333.27234,244.80304,335.19556
3606.818,212.62318,335.03983,246.00964,337.01233
3750.7273,213.59969,336.7841,247.20097,338.80505
3894.6365,214.56413,338.50504,248.3771,340.5737
4038.5454,215.51657,340.2027,249.53807,342.31827
4182.4546,216.45712,341.87708,250.68391,344.03882
4326.364,217.38583,343.52823,251.81476,345.73532
4470.273,218.3028,345.15628,252.93065,347.40796
4614.1816,219.20807,346.7613,254.03168,349.05676
4758.091,220.10173,348.3433,255.1179,350.6818
4902.0,220.98384,349.90247,256.1894,352.28323
5045.909,221.8545,351.43884,257.24628,353.8611
5189.8184,222.71376,352.95255,258.28857,355.41553
5333.727,223.56168,354.4436,259.31638,356.94656
5477.636,224.39833,355.9122,260.3298,358.4544
5621.5454,225.22379,357.35843,261.32886,359.93906
5765.4546,226.03809,358.7823,262.31363,361.40067
5909.364,226.84132,360.18405,263.28424,362.83942
6053.273,227.63351,361.56372,264.24072,364.25528
6197.1816,228.41478,362.92145,265.18317,365.64856
6341.091,229.1851,364.25735,266.11166,367.0193
6485.0,229.94461,365.57162,267.0263,368.36755
6628.909,230.69333,366.86426,267.9271,369.69357
6772.8184,231.4313,368.13556,268.81418,370.99753
6916.727,232.15865,369.38556,269.68765,372.27945
7060.636,232.87535,370.6144,270.54755,373.5396
7204.5454,233.58148,371.82224,271.39398,374.77805
7348.4546,234.27716,373.00925,272.227,375.99496
7492.364,234.96237,374.17557,273.04672,377.1905
7636.273,235.6372,375.32132,273.85318,378.36487
7780.1816,236.30173,376.44672,274.64658,379.51822
7924.091,236.95598,377.5519,275.4269,380.6507
8068.0,237.60002,378.63702,276.19427,381.7625
8211.909,238.23396,379.7023,276.94876,382.85382
8355.818,238.85779,380.74783,277.69052,383.92487
8499.728,239.47163,381.7739,278.41962,384.97577
8643.637,240.07553,382.7806,279.13614,386.00674
8787.546,240.66956,383.76822,279.84018,387.018
8931.454,241.25377,384.73685,280.53192,388.00977
9075.363,241.82826,385.68674,281.21133,388.98215
9219.272,242.39308,386.61807,281.87866,389.9355
9363.182,242.9483,387.53107,282.53394,390.86993
9507.091,243.49403,388.4259,283.17728,391.78568
9651.0,244.03032,389.30283,283.80884,392.68298
9794.909,244.55722,390.16196,284.42868,393.56204
9938.818,245.07489,391.0037,285.03696,394.4231
10082.728,245.58333,391.8281,285.63382,395.2664
10226.637,246.08267,392.6354,286.2193,396.0921
10370.546,246.57298,393.42584,286.7936,396.9005
10514.454,247.05438,394.19977,287.3568,397.6918
10658.363,247.52693,394.9572,287.9091,398.4663
10802.272,247.99069,395.69852,288.45053,399.22412
10946.182,248.44582,396.42386,288.9813,399.96564
11090.091,248.89235,397.1335,289.50146,400.69095
11234.0,249.3304,397.8277,290.01123,401.4004
11377.909,249.76009,398.50662,290.51068,402.0942
11521.818,250.18147,399.17053,291.00003,402.77264
11665.728,250.59468,399.81967,291.47928,403.43585
11809.637,250.9998,400.45435,291.9487,404.0842
11953.546,251.39693,401.07465,292.40836,404.71783
12097.454,251.78618,401.6809,292.85843,405.33707
12241.363,252.16766,402.27335,293.299,405.9421
12385.272,252.54144,402.8522,293.73026,406.5332
12529.182,252.90764,403.41766,294.15234,407.11063
12673.091,253.26636,403.97003,294.56537,407.6746
12817.0,253.61774,404.5095,294.96948,408.22537
12960.909,253.96184,405.0363,295.36484,408.76312
13104.818,254.2988,405.55072,295.75156,409.2882
13248.728,254.62871,406.05292,296.1298,409.80075
13392.637,254.95166,406.54315,296.49973,410.30106
13536.546,255.26778,407.02164,296.86142,410.7893
13680.454,255.57716,407.48865,297.2151,411.26584
13824.363,255.87993,407.9443,297.5608,411.7308
13968.272,256.17618,408.389,297.89874,412.18442
14112.182,256.466,408.82278,298.229,412.62692
14256.091,256.74957,409.24597,298.5518,413.05856
14400.0,257.0269,409.65875,298.86722,413.4796
