Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
13729.679,240.49452,290.75284,265.6237,292.3104
13840.672,241.49884,290.51263,266.00574,292.1178
13937.195,242.46883,290.04813,266.25848,291.69827
14023.877,243.4064,289.44385,266.4251,291.12616
14103.816,244.31346,288.75906,266.53625,290.4612
14178.897,245.19043,288.03415,266.6123,289.74805
14250.232,246.03691,287.296,266.66644,289.0185
14318.653,246.85274,286.56168,266.7072,288.29306
14384.564,247.63739,285.8425,266.73993,287.58545
14448.367,248.39067,285.14545,266.76807,286.90363
14510.278,249.11253,284.47485,266.7937,286.25223
14570.371,249.80315,283.83374,266.81845,285.6339
14628.845,250.46327,283.22345,266.84335,285.04938
14685.71,251.0935,282.6452,266.86935,284.499
14741.119,251.69495,282.09924,266.8971,283.9823
14795.112,252.26878,281.5856,266.9272,283.49863
14847.677,252.81606,281.10443,266.96024,283.04745
14898.925,253.3382,280.6551,266.99664,282.62772
14948.819,253.83641,280.2371,267.03674,282.23862
14997.4795,254.31198,279.84958,267.08078,281.8789
15044.9375,254.76619,279.49152,267.12885,281.54745
15096.389,255.13951,279.20068,267.1701,281.2733
15146.256,255.49991,278.93445,267.21716,281.02322
15194.845,255.84657,278.69455,267.27057,280.79877
15242.343,256.17917,278.48172,267.33044,280.60062
15288.88,256.4979,278.29587,267.39688,280.4289
15334.541,256.80298,278.13684,267.4699,280.2832
15379.383,257.09518,278.00403,267.54962,280.16315
15423.458,257.3752,277.8969,267.63605,280.0681
15466.795,257.64386,277.81473,267.7293,279.9973
15509.426,257.90204,277.75687,267.82947,279.9501
15551.373,258.15063,277.72256,267.93658,279.92575
15592.658,258.39047,277.71124,268.05084,279.92358
15633.301,258.62253,277.72205,268.1723,279.94293
15673.32,258.8475,277.75443,268.30096,279.9831
15712.728,259.06638,277.80768,268.437,280.04343
15751.534,259.2797,277.8812,268.58044,280.12326
15789.758,259.48834,277.97424,268.7313,280.2221
15827.415,259.69287,278.0862,268.88953,280.33926
15864.509,259.89404,278.21655,269.0553,280.4742
15901.055,260.0924,278.36456,269.2285,280.62637
15937.064,260.28848,278.52985,269.40918,280.79517
15972.488,260.48346,278.71118,269.59732,280.9798
16007.342,260.67758,278.9082,269.7929,281.1796
16041.652,260.87128,279.12027,269.9958,281.3943
16075.425,261.0649,279.34708,270.206,281.6233
16108.672,261.25876,279.58786,270.4233,281.86612
16141.399,261.45328,279.84235,270.64783,282.1223
16173.617,261.64874,280.1099,270.87933,282.3914
16205.331,261.84543,280.39017,271.1178,282.67285
16236.55,262.04364,280.68253,271.3631,282.9663
16267.275,262.24362,280.98666,271.61514,283.27127
16297.514,262.44565,281.30197,271.8738,283.58734
16327.276,262.6498,281.62814,272.13898,283.9141
16356.562,262.85645,281.96475,272.41058,284.25116
16385.375,263.0656,282.31134,272.68848,284.5981
16413.727,263.27756,282.66757,272.97256,284.9546
16441.615,263.4923,283.033,273.26263,285.32025
16469.055,263.71008,283.40726,273.55865,285.69464
16496.04,263.9309,283.7901,273.8605,286.0775
16522.576,264.15488,284.18097,274.1679,286.4685
16548.674,264.38217,284.57977,274.48096,286.8673
16574.334,264.61267,284.98593,274.79932,287.27353
16599.562,264.84656,285.39935,275.12296,287.6869
16624.361,265.08377,285.8195,275.45163,288.10715
16648.736,265.3244,286.24625,275.78534,288.53394
16672.695,265.56845,286.67932,276.1239,288.96698
16696.238,265.81592,287.11826,276.4671,289.40604
16719.373,266.0668,287.56293,276.81488,289.85083
16742.096,266.32104,288.01303,277.16705,290.30106
16764.424,266.57874,288.4683,277.5235,290.75653
16786.354,266.83978,288.9285,277.88416,291.21698
16807.887,267.1042,289.39334,278.24878,291.68213
16829.031,267.3718,289.8626,278.6172,292.15176
16849.787,267.6427,290.33612,278.9894,292.62567
16870.166,267.91684,290.81357,279.3652,293.10358
16890.162,268.1941,291.2948,279.74445,293.58533
16909.791,268.47443,291.77954,280.12698,294.07074
16929.049,268.75784,292.2676,280.51273,294.55948
16947.94,269.04422,292.7589,280.90155,295.05145
16966.469,269.3335,293.25305,281.29327,295.54642
16984.643,269.62564,293.75,281.6878,296.04422
17002.46,269.9205,294.24948,282.085,296.5447
17019.93,270.21817,294.75137,282.48477,297.0476
17037.053,270.5184,295.2555,282.88696,297.55283
17053.834,270.82117,295.76166,283.2914,298.06015
17070.275,271.12643,296.26968,283.69806,298.56946
17086.389,271.43405,296.7795,284.10678,299.08054
17102.17,271.74402,297.29083,284.51743,299.5932
17117.623,272.0562,297.8036,284.9299,300.10745
17132.752,272.37054,298.31766,285.34412,300.62302
17147.568,272.68695,298.83282,285.7599,301.13977
17162.064,273.0054,299.349,286.1772,301.65753
17176.252,273.32568,299.86603,286.59586,302.17627
17190.133,273.64783,300.38382,287.0158,302.6958
17203.709,273.9717,300.9022,287.43695,303.21603
17216.988,274.2973,301.42108,287.8592,303.73676
17229.967,274.62436,301.9403,288.28235,304.2579
17242.658,274.953,302.45975,288.70636,304.7794
17255.059,275.28305,302.97937,289.13123,305.30106
