Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.97,101.8,101.96,101.82,101.96047452285966
293.97,101.8,102.12,101.84,102.11837795472366
433.97,101.8,102.29,101.87,102.29805213943506
583.97,101.8,102.5,101.91,102.50938958174817
723.97,101.8,102.69,101.95,102.70536952751242
873.97,101.81,102.89,102.01,102.9028056047672
1014.0,101.81,103.09,102.06,103.09712445860944
1154.0,101.82,103.32,102.12,103.3275659486655
1304.0,101.83,103.61,102.19,103.61737551401936
1444.0,101.84,103.88,102.27,103.90840968888767
1594.0,101.86,104.21,102.36,104.22740605100384
1734.0,101.88,104.51,102.45,104.54190730609852
1874.0,101.9,104.86,102.55,104.8868451145727
2024.0,101.93,105.27,102.67,105.29608432304204
2164.0,101.96,105.66,102.79,105.71232491305555
2314.0,102.0,106.15,102.93,106.19169919996357
2454.0,102.04,106.61,103.07,106.66724217862163
2594.0,102.09,107.12,103.23,107.16742122805452
2744.0,102.15,107.69,103.41,107.73782092077788
2884.0,102.21,108.23,103.6,108.3173244162494
3034.0,102.28,108.93,103.81,108.99795155849957
3174.0,102.35,109.59,104.03,109.67361699090058
3314.0,102.43,110.28,104.26,110.36968162208642
3464.0,102.53,111.07,104.53,111.1445141919908
3604.0,102.63,111.8,104.79,111.9232549116926
3754.0,102.75,112.75,105.1,112.83856725208928
3894.0,102.86,113.63,105.41,113.75399893472732
4034.0,102.99,114.58,105.73,114.70842686524304
4184.0,103.14,115.65,106.11,115.77499642278606
4324.0,103.29,116.66,106.48,116.83117123359234
4474.0,103.47,117.89,106.91,118.0412401593648
4614.0,103.65,119.05,107.34,119.2277213360226
4754.0,103.84,120.26,107.78,120.4490462402874
4904.0,104.06,121.62,108.29,121.80296988339262
5044.0,104.28,122.9,108.79,123.139439615116
5194.0,104.54,124.47,109.36,124.67127664911388
5334.0,104.79,125.93,109.92,126.1745363436632
5474.0,105.06,127.45,110.51,127.72230549535112
5624.0,105.38,129.15,111.18,129.41981431782435
5764.0,105.69,130.73,111.82,131.04713289792207
5914.0,106.04,132.55,112.55,132.84300621355214
6054.0,106.39,134.24,113.26,134.56929210489187
6194.0,106.77,136.0,113.99,136.34412325292695
6344.0,107.19,137.94,114.81,138.29499133432395
6484.0,107.61,139.76,115.61,140.15353192972967
6634.0,108.08,141.78,116.49,142.17692671578786
6774.0,108.55,143.67,117.34,144.0905859951929
6914.0,109.04,145.59,118.22,146.02429417114055
7064.0,109.59,147.66,119.17,148.10929728452203
7204.0,110.13,149.59,120.06,150.05549957782682
7354.0,110.72,151.66,121.05,152.13336468676474
7494.0,111.3,153.59,121.99,154.077512753735
7634.0,111.91,155.52,122.96,156.03991556485198
7784.0,112.58,157.59,124.02,158.14181097820253
7924.0,113.23,159.52,125.02,160.05349851101192
8074.0,113.95,161.43,126.11,162.01093670070182
8214.0,114.65,163.21,127.13,163.77734024228198
8354.0,115.37,164.95,128.16,165.51945367505854
8504.0,116.16,166.78,129.27,167.3650835708069
8644.0,116.93,168.48,130.32,169.04732964492715
8794.0,117.77,170.18,131.44,170.7898916299196
8934.0,118.58,171.77,132.49,172.36834461969414
9074.0,119.4,173.3,133.55,173.911989692552
9224.0,120.31,174.88,134.68,175.51671374560422
9364.0,121.17,176.35,135.74,176.93937536570502
9514.0,122.11,177.72,136.86,178.36334894739056
9654.0,123.01,179.01,137.9,179.62166637788027
9794.0,123.91,180.23,138.94,180.84112441435948
9944.0,124.9,181.48,140.04,182.1077346564041
10084.0,125.83,182.64,141.06,183.23110915121185
10234.0,126.84,183.73,142.15,184.3561256122866
10374.0,127.79,184.74,143.15,185.347012911371
10514.0,128.74,185.69,144.15,186.2995263025825
10664.0,129.78,186.65,145.2,187.27531245914284
10804.0,130.75,187.55,146.17,188.1231889652524
10954.0,131.79,188.35,147.2,188.9510893571317
11094.0,132.76,189.09,148.14,189.67054493686948
11234.0,133.74,189.79,149.07,190.3656939418229
11384.0,134.78,190.5,150.06,191.0865289348327
11524.0,135.76,191.17,150.97,191.7172757313208
11674.0,136.8,191.76,151.92,192.33305765779048
11814.0,137.74,192.32,152.77,192.86186157517167
11954.0,138.66,192.83,153.59,193.360611225188
12104.0,139.64,193.34,154.45,193.8675373473081
12244.0,140.55,193.81,155.25,194.3123002169974
12394.0,141.52,194.23,156.08,194.7550960240888
12534.0,142.42,194.62,156.85,195.13384813405293
12674.0,143.31,194.98,157.61,195.47675952425155
12824.0,144.26,195.32,158.41,195.8115283582081
12964.0,145.13,195.63,159.15,196.10840892529885
13114.0,146.06,195.93,159.92,196.4190406746508
13254.0,146.92,196.21,160.63,196.68681276453216
13394.0,147.77,196.45,161.33,196.9147257323032
13544.0,148.68,196.67,162.06,197.12081714359985
13684.0,149.51,196.87,162.73,197.3054256974061
13834.0,150.4,197.08,163.43,197.5162699059325
13974.0,151.21,197.28,164.08,197.71280047680503
14114.0,152.02,197.46,164.72,197.891113519488
14264.0,152.87,197.64,165.4,198.05871549306696
14400.0,153.63,197.79,165.99,198.2
