Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
1.0,25.015,100.01,97.987,100.00615
74.45918367346938,25.001,100.4551582389396,92.71163366868996,100.45792397959184
147.91836734693877,25.001,100.91343632653061,90.01584926530612,100.91120039885715
221.37755102040813,25.00066137414966,101.62587469387755,87.93655862585034,101.62655357142857
294.83673469387753,25.0,102.99049904761905,86.23654842176872,102.98922142857143
368.2959183673469,25.0,104.35386448979592,84.75462318367347,104.35188928571428
441.75510204081627,25.0,106.23143231292516,83.50917589115647,106.22814489795918
515.2142857142857,25.0,108.4964238095238,82.49336371428572,108.4943607142857
588.6734693877551,25.0,110.88107367346939,81.62713812244898,110.88027677838775
662.1326530612245,25.0,113.79296952380952,80.9581033197279,113.7941306122449
735.5918367346939,25.0,116.96395761904762,80.45526965306122,116.96756734693878
809.0510204081633,25.0,120.25350163265307,80.09581930612245,120.25278418367347
882.5102040816325,25.0,124.3304863265306,79.97112987755102,124.33344183673469
955.9693877551019,25.0,128.4132892517007,79.97360021768708,128.41409948979592
1029.4285714285713,25.0,132.90352622061482,80.14264828209765,132.90367055605788
1102.8877551020407,25.0,137.84156734693877,80.4975012244898,137.8460785714286
1176.3469387755101,25.0,142.90032074829932,80.99829547619048,142.90017586853742
1249.8061224489795,25.0,148.43127414965986,81.67519863945579,148.43694132653062
1323.265306122449,25.0,154.32727959183674,82.51849744897959,154.33204081632653
1396.7244897959183,25.0,160.23777142857142,83.47195156462585,160.23973461768708
1470.1836734693877,25.0,166.9817537414966,84.65911568027211,166.9890081632653
1543.642857142857,25.0,173.78897142857141,85.97255142857144,173.79132857142855
1617.1020408163265,25.0,180.89620612244897,87.42904285714286,180.89821724438772
1690.561224489796,25.0,188.5134285714286,89.06154027210886,188.51440051020407
1764.020408163265,25.0,196.22929795918367,90.81805448979591,196.23662541275507
1837.4795918367345,25.0,204.39187210884353,92.743082585034,204.39635612244896
1910.9387755102039,25.0,213.01108299319728,94.83379493197278,213.01311836734692
1984.3979591836733,25.0,221.63751020408162,97.02448489795918,221.6396443020408
2057.8571428571427,25.0,230.95004999999998,99.3992019047619,230.9582857142857
2131.316326530612,25.0,240.47301428571427,101.91927414965986,240.47859591836735
2204.7755102040815,25.0,250.1911663265306,104.55388571428571,250.20000590612244
2278.234693877551,25.0,260.48312653061225,107.35825306122449,260.48932653061223
2351.6938775510203,25.0,270.9143306122449,110.28218741496597,270.9205306122449
2425.1530612244896,25.0,281.6555224489796,113.32698367346939,281.66111734693874
2498.612244897959,25.0,292.9898044217687,116.55221360544218,292.9958693877551
2572.0714285714284,25.0,304.3302476190476,119.8643619047619,304.33766226666665
2645.530612244898,25.0,316.2251020408163,123.33007448979592,316.2299530612245
2718.9897959183672,25.0,328.46829931972786,126.93589659863946,328.47559897959184
2792.4489795918366,25.0,340.80796292517005,130.63203843537414,340.8168657255102
2865.908163265306,25.0,353.7749738311848,134.497941269451,353.77756122448983
2939.3673469387754,25.0,366.9207941281776,138.46453992123165,366.9267551020408
3012.826530612245,25.0,380.240208385639,142.51486065779562,380.23695641817005
3086.285714285714,25.0,394.2955990351112,146.75276869471992,394.2907714285714
3159.7448979591836,25.0,408.35309229706917,151.0641913457112,408.3471862244898
3233.204081632653,25.0,422.80756372587945,155.48628364964662,422.8136714285714
3306.6632653061224,25.0,437.772109250886,160.04704631553219,437.7773071428572
3380.122448979592,25.0,452.7334351020408,164.66251428571428,452.7409428571429
3453.581632653061,25.0,468.37146498433395,169.35093488017614,468.36631173469385
3527.04081632653,25.0,484.2378796264267,174.07965409892768,484.2371683673469
3600.4999999999995,25.0,495.029957537155,178.1276645435244,495.0370425159236
3673.959183673469,25.0,484.0164163265307,178.98181224489798,484.021118367347
3747.4183673469383,25.0,468.14003891387074,178.42162141127636,468.15026173469397
3820.8775510204077,25.0,452.58684538222076,177.4491417329644,452.5825100819354
3894.336734693877,25.0,437.5722334693878,176.1830106122449,437.57360714285727
3967.7959183673465,25.0,422.6012518367348,174.59579387755102,422.6099714285715
4041.255102040816,25.0,408.16309346938783,172.7916942857143,408.1558362244899
4114.714285714285,25.0,394.09863587540286,170.7651127819549,394.09942142857153
4188.173469387755,25.0,380.0465543515718,168.5262296588429,380.0430066326531
4261.632653061224,25.0,366.74673505636724,166.1577253778954,366.74775510204086
4335.091836734694,25.0,353.5997220329256,163.65571607905025,353.5985612244898
4408.551020408163,25.0,340.59911732003883,161.01367992539727,340.6018038793444
4482.010204081633,25.0,328.3082993197279,158.31236394557823,328.3088989795918
4555.469387755102,25.0,316.0651020408164,155.50119897959186,316.06325306122454
4628.928571428572,25.0,304.2211428571428,152.62404761904762,304.2159719047619
4702.3877551020405,25.0,292.84632312925174,149.7214523809524,292.84156938775516
4775.846938775509,25.0,281.53737755102054,146.7425,281.53488770408177
4849.306122448979,25.0,270.78449829931975,143.74291666666667,270.77853061224494
4922.765306122448,25.0,260.3811700680273,140.72770068027214,260.34732653061235
4996.224489795918,25.0,250.08838775510208,137.66902551020408,250.02241765306127
5069.683673469387,25.0,240.4252142857144,134.64446938775512,240.34899591836742
5143.142857142857,25.0,230.96195238095243,131.601,230.82868571428577
5216.602040816326,25.0,221.75285714285724,128.5491836734694,221.57339030612252
5290.061224489796,25.0,213.0947636054422,125.55541666666667,212.89581836734695
5363.520408163265,25.0,204.5469625850341,122.55583333333337,204.27905612244905
5436.9795918367345,25.0,196.41646938775514,119.59264285714286,196.11899183673472
5510.438775510203,25.0,188.73721088435383,116.68191836734697,188.40945051020415
5583.897959183673,25.0,181.16080782312926,113.78568027210885,180.77659785289117
5657.357142857142,25.0,174.09292857142864,110.96507142857146,173.69872857142863
5730.816326530612,25.0,167.32289795918368,108.19575170068028,166.89640816326533
5804.275510204081,25.0,160.7060204081633,105.45008163265308,160.22951348639464
5877.734693877551,25.0,154.76369387755102,102.81866836734694,154.25179081632655
5951.19387755102,25.0,149.06034013605446,100.2240986394558,148.35669132653067
6024.65306122449,25.0,143.68955612244898,97.69925238095239,142.806222997449
6098.112244897959,25.0,138.771306122449,95.27954285714287,137.7781785714286
6171.571428571428,25.0,134.05553571428572,92.9100630952381,132.83781074404763
6245.030612244897,25.0,129.654343537415,90.63564047619049,128.35854948979596
6318.489795918367,25.0,125.59688775510205,88.4612831632653,124.27789183673471
6391.948979591836,25.0,121.67837414965989,86.32987006802722,120.20199355442179
6465.408163265306,25.0,118.17949659863946,84.35799693877551,116.92436734693878
6538.867346938775,25.0,114.8995204081633,82.45622040816328,113.75093061224491
6612.326530612245,25.0,111.84013435374149,80.63908061224491,110.84220289540816
6685.785714285714,25.0,109.1157142857143,78.9492380952381,108.46351071428573
6759.244897959184,25.0,106.66861734693877,77.34248622448979,106.21555349489796
6832.704081632653,25.0,104.5699761904762,75.84382925170068,104.33333928571429
6906.163265306122,25.0,103.04562074829931,74.48001717687075,102.97067142857144
6979.622448979591,25.0,101.65369387755104,73.18126326530613,101.60800357142858
7053.08163265306,25.0,100.90024659863946,72.03259353741498,100.90354795918368
7126.54081632653,25.0,100.44975510204083,71.00320238095239,100.45177397959183
7200.0,25.0,100.0,70.027,100.0
