Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0,100,100,100,100
161,100,100.43,100.04,100.4276944
341,100,100.93,100.12,100.8165833
461,100,101.26,100.18,101.2054722
581,100,101.59,100.26,101.6221389
761,100.01,102.08,100.37,102.0110278
881,100.02,102.41,100.46,102.4276944
1061,100.03,102.91,100.6,102.8166667
1181,100.05,103.24,100.7,103.2055556
1301,100.07,103.57,100.8,103.6222222
1481,100.11,104.07,100.96,104.0111111
1601,100.14,104.4,101.07,104.4277778
1781,100.19,104.9,101.25,104.8166667
1901,100.23,106.04,101.44,105.8222222
2021,100.28,107.36,101.7,107.4888889
2201,100.36,109.34,102.15,109.0444444
2321,100.42,110.66,102.49,110.7111111
2501,100.53,112.64,103.04,112.2666667
2621,100.62,113.96,103.43,113.8222222
2741,100.72,115.29,103.84,115.4888889
2921,100.89,117.27,104.49,117.0444444
3041,101.03,118.6,104.95,118.7111111
3221,101.27,120.58,105.66,120.2666667
3341,101.45,121.91,106.15,121.8222222
3461,101.64,123.23,106.66,123.4888889
3641,101.97,125.82,107.49,125.1055556
3761,102.21,128.93,108.23,129.0638889
3941,102.6,133.64,109.5,132.7583333
4061,102.89,136.78,110.43,136.4527778
4181,103.2,139.92,111.4,140.4111111
4361,103.71,144.64,112.96,144.1055556
4481,104.09,147.79,114.02,148.0638889
4661,104.72,152.5,115.69,151.7583333
4781,105.18,155.65,116.85,155.4527778
4901,105.68,158.79,118.06,159.4111111
5081,106.5,163.52,119.92,163.1055556
5201,107.09,166.66,121.21,167.0638889
5381,108.04,171.38,123.2,170.7583333
5501,108.73,174.53,124.57,174.4527778
5621,109.45,177.68,125.97,178.4111111
5801,110.6,182.41,128.12,182.1055556
5921,111.42,185.56,129.59,186.0638889
6101,112.7,190.3,131.81,189.7583333
6221,113.6,193.44,133.29,193.4527778
6341,114.52,196.59,134.8,197.4111111
6521,115.97,201.32,137.13,201.1055556
6641,116.97,204.47,138.71,205.0638889
6821,118.53,209.2,141.14,208.7583333
6941,119.61,212.35,142.79,212.4527778
7061,120.73,215.5,144.47,216.4111111
7241,122.45,220.72,147.06,220.1555556
7361,123.64,225.34,148.95,225.9888889
7541,125.48,232.29,151.93,231.4333333
7661,126.72,236.95,153.91,236.8777778
7781,127.98,241.59,155.95,242.7111111
7961,129.94,248.55,159.12,248.1555556
8081,131.29,253.19,161.29,253.9888889
8261,133.38,260.15,164.63,259.4333333
8381,134.82,264.79,166.92,264.8777778
8501,136.3,269.44,169.24,270.7111111
8681,138.61,276.4,172.79,276.1555556
8801,140.16,281.08,175.1,281.9888889
8981,142.55,288.04,178.66,287.4333333
9101,144.19,292.69,181.08,292.8777778
9221,145.88,297.33,183.54,298.7111111
9401,148.47,304.3,187.3,304.1555556
9521,150.25,308.95,189.84,309.9888889
9701,152.98,315.92,193.73,315.4333333
9821,154.86,320.56,196.35,320.8777778
9941,156.71,325.25,198.89,326.7111111
10121,159.56,332.22,202.78,332.1555556
10241,161.5,336.86,205.42,337.9888889
10421,164.47,343.84,209.43,343.4333333
10541,166.49,348.48,212.15,348.8777778
10661,168.54,353.13,214.89,354.7111111
10841,171.68,360.11,219.07,360.1555556
10961,173.82,364.76,221.88,365.9888889
11141,176.98,371.77,225.96,371.4333333
11261,179.12,376.42,228.73,376.8777778
11381,181.28,381.07,231.53,382.7111111
11561,184.59,388.05,235.79,388.1555556
11681,186.83,392.7,238.66,393.9888889
11861,190.24,399.67,243.02,399.4333333
11981,192.56,404.32,245.96,404.8777778
12101,194.9,408.97,248.92,410.7111111
12281,198.33,416,253.2,416.1555556
12401,200.66,420.65,256.1,421.9888889
12581,204.19,427.63,260.51,427.4333333
12701,206.58,432.28,263.48,432.8777778
12821,208.99,436.93,266.48,438.7111111
13001,212.65,443.91,271.01,444.1555556
13121,215.13,448.56,274.07,449.9888889
13301,218.85,455.55,278.66,455.4333333
13421,221.32,460.21,281.68,460.8777778
13541,223.8,464.86,284.73,466.7111111
13721,227.57,471.84,289.33,472.1555556
13841,230.11,476.49,292.42,477.9888889
14021,233.97,483.47,297.1,483.4333333
14141,236.57,488.13,300.25,488.8777778
14261,239.19,492.78,303.42,494.7111111
14400,242.26,498.17,307.11,500
