Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0,100,100,100,100
153.97,100,100.4276944,100.15,100.4276944
293.97,100,100.8165833,100.37,100.8165833
433.97,100,101.2054722,100.64,101.2054722
583.97,100.01,101.6221389,100.98,101.6221389
723.97,100.02,102.0110278,101.33,102.0110278
873.97,100.05,102.4276944,101.73,102.4276944
1014,100.09,102.8166667,102.14,102.8166667
1154,100.15,103.2055556,102.56,103.2055556
1304,100.24,103.6222222,103.05,103.6222222
1444,100.35,104.0111111,103.53,104.0111111
1594,100.49,104.4277778,104.06,104.4277778
1734,100.65,104.8166667,104.57,104.8166667
1874,100.83,105.8222222,105.11,105.8222222
2024,101.05,107.4888889,105.71,107.4888889
2164,101.28,109.0444444,106.28,109.0444444
2314,101.55,110.7111111,106.91,110.7111111
2454,101.82,112.2666667,107.52,112.2666667
2594,102.12,113.8222222,108.15,113.8222222
2744,102.47,115.4888889,108.84,115.4888889
2884,102.81,117.0444444,109.5,117.0444444
3034,103.21,118.7111111,110.23,118.7111111
3174,103.6,120.2666667,110.92,120.2666667
3314,104.01,121.8222222,111.63,121.8222222
3464,104.47,123.4888889,112.4,123.4888889
3604,104.92,125.1055556,113.14,125.1055556
3754,105.43,129.0638889,113.94,129.0638889
3894,105.92,132.7583333,114.71,132.7583333
4034,106.43,136.4527778,115.49,136.4527778
4184,107,140.4111111,116.34,140.4111111
4324,107.55,144.1055556,117.15,144.1055556
4474,108.15,148.0638889,118,148.0638889
4614,108.73,151.7583333,118.8,151.7583333
4754,109.32,155.4527778,119.63,155.4527778
4904,109.98,159.4111111,120.52,159.4111111
5044,110.6,163.1055556,121.37,163.1055556
5194,111.28,167.0638889,122.3,167.0638889
5334,111.93,170.7583333,123.17,170.7583333
5474,112.6,174.4527778,124.06,174.4527778
5624,113.33,178.4111111,125.02,178.4111111
5764,114.03,182.1055556,125.93,182.1055556
5914,114.79,186.0638889,126.92,186.0638889
6054,115.52,189.7583333,127.85,189.7583333
6194,116.26,193.4527778,128.79,193.4527778
6344,117.07,197.4111111,129.81,197.4111111
6484,117.83,201.1055556,130.77,201.1055556
6634,118.67,205.0638889,131.81,205.0638889
6774,119.47,208.7583333,132.8,208.7583333
6914,120.27,212.4527778,133.79,212.4527778
7064,121.15,216.4111111,134.86,216.4111111
7204,121.98,220.1555556,135.87,220.1555556
7354,122.89,225.9888889,136.96,225.9888889
7494,123.75,231.4333333,137.98,231.4333333
7634,124.61,236.8777778,139.02,236.8777778
7784,125.56,242.7111111,140.13,242.7111111
7924,126.45,248.1555556,141.19,248.1555556
8074,127.42,253.9888889,142.32,253.9888889
8214,128.33,259.4333333,143.39,259.4333333
8354,129.25,264.8777778,144.46,264.8777778
8504,130.26,270.7111111,145.62,270.7111111
8644,131.2,276.1555556,146.71,276.1555556
8794,132.2,281.9888889,147.85,281.9888889
8934,133.12,287.4333333,148.89,287.4333333
9074,134.05,292.8777778,149.95,292.8777778
9224,135.06,298.7111111,151.1,298.7111111
9364,136,304.1555556,152.18,304.1555556
9514,137.02,309.9888889,153.34,309.9888889
9654,137.98,315.4333333,154.44,315.4333333
9794,138.95,320.8777778,155.54,320.8777778
9944,140,326.7111111,156.73,326.7111111
10084,140.98,332.1555556,157.84,332.1555556
10234,142.05,337.9888889,159.05,337.9888889
10374,143.05,343.4333333,160.17,343.4333333
10514,144.06,348.8777778,161.31,348.8777778
10664,145.15,354.7111111,162.53,354.7111111
10804,146.18,360.1555556,163.68,360.1555556
10954,147.28,365.9888889,164.91,365.9888889
11094,148.33,371.4333333,166.07,371.4333333
11234,149.37,376.8777778,167.24,376.8777778
11384,150.51,382.7111111,168.49,382.7111111
11524,151.57,388.1555556,169.66,388.1555556
11674,152.72,393.9888889,170.93,393.9888889
11814,153.8,399.4333333,172.11,399.4333333
11954,154.89,404.8777778,173.3,404.8777778
12104,156.06,410.7111111,174.59,410.7111111
12244,157.16,416.1555556,175.79,416.1555556
12394,158.34,421.9888889,177.08,421.9888889
12534,159.46,427.4333333,178.29,427.4333333
12674,160.57,432.8777778,179.5,432.8777778
12824,161.78,438.7111111,180.81,438.7111111
12964,162.91,444.1555556,182.03,444.1555556
13114,164.1,449.9888889,183.31,449.9888889
13254,165.19,455.4333333,184.48,455.4333333
13394,166.27,460.8777778,185.65,460.8777778
13544,167.44,466.7111111,186.91,466.7111111
13684,168.53,472.1555556,188.09,472.1555556
13834,169.71,477.9888889,189.37,477.9888889
13974,170.81,483.4333333,190.57,483.4333333
14114,171.92,488.8777778,191.77,488.8777778
14264,173.11,494.7111111,193.06,494.7111111
14400,174.2,500,194.24,500
